participant,x,mu,x-mu sign,x-mu,Absolute x-mu,Absolute rank,Signed rank
participant1,661,670,neg,-9,9,17.5,-17.5
participant2,662,670,neg,-8,8,15.5,-15.5
participant3,663,670,neg,-7,7,13.5,-13.5
participant4,664,670,neg,-6,6,11.5,-11.5
participant5,665,670,neg,-5,5,9.5,-9.5
participant6,666,670,neg,-4,4,7.5,-7.5
participant7,667,670,neg,-3,3,5.5,-5.5
participant8,668,670,neg,-2,2,3.5,-3.5
participant9,669,670,neg,-1,1,1.5,-1.5
participant10,670,670,,0,0,,
participant1,670,670,,0,0,,
participant2,671,670,pos,1,1,1.5,1.5
participant3,672,670,pos,2,2,3.5,3.5
participant4,673,670,pos,3,3,5.5,5.5
participant5,674,670,pos,4,4,7.5,7.5
participant6,675,670,pos,5,5,9.5,9.5
participant7,676,670,pos,6,6,11.5,11.5
participant8,677,670,pos,7,7,13.5,13.5
participant9,678,670,pos,8,8,15.5,15.5
participant10,679,670,pos,9,9,17.5,17.5
,,,,,,,
w+=,85.5,,,,,,
w-=,-85.5,,,,,,
w = ,85.5,Not significant: keep the null hypothesis,,,,,
