bel, , , , , , , , , , , , , , , , , , , , , 1, 1, 1, 4, 3, 3, 3, 2, 3, , , , , , , , 5, , 1, , , , , , 2, , , , , , , , , , 1, , , , 3, 3, 1, 1, 1, 1, 6, 4, , , , , , , , 2, 1, , , , , , , , , , , , , , 1, 1, , , 1, 1, , 1, 2, 1, , 6, , , , , 2, , , , 1, 1, , , , 2, , , , 3, , , , , , , , , 1, , , , 1, , , , , , , , , , , , , , , , , , , , , 1, 1, 1, 1, , , , , 3, 15, , 8, , 2, 2, 4, 19, , , , , , , , , , , 17, , , 21, , , , , , , , , , 
lad, 4, 2, 5, 4, 2, 1, 1, 2, 1, 2, , 1, 3, 1, , , , , 1, 1, , , , , , , , , 2, , 4, 1, 1, 1, 1, 2, , 8, , , 3, 5, , 1, , , , 6, , , , 2, 5, 2, 1, 2, 5, , , , , , , , , , , , , , , , , 2, 1, 2, 4, 1, 1, 2, 3, 3, 3, 4, 5, 1, 1, , 1, 1, , 1, 1, 2, 1, 2, , , , , , , , , 6, 2, , 1, , 2, 4, 4, 1, 5, 1, 1, 1, 1, , 2, , , , , , 2, 1, 3, 3, , 2, 1, 3, 1, 1, , , , 4, , , , , , , , , , , , , , , , , 3, , , , , 11, , , , 2, 2, 4, 20, , , , , , , , , , , 15, 6, , , 4, 4, 2, 2, , , , , , 
lim, , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , 2, , , , , , , 9, , 5, 1, , 3, , , , 2, 3, 3, 6, 1, , , 2, , , 1, 2, 1, , 1, , , 1, 1, 3, , , , 2, , , , , , 2, 1, 2, , 1, , , , 2, 4, , , , , , 1, 1, , , 1, 1, 1, 1, 2, 1, , , , , , 1, , 2, 4, , 1, 1, , , 5, 2, 5, 5, 4, , , 1, , , , , 2, 2, 6, , , , , 2, , , , 1, , , , 3, 2, 2, 1, , , , , , , , , , , , , , , , , , 14, 4, , , 2, 2, 4, 18, , , , , , , , , , , 16, , 18, , , , , , , , , , , 
new, 3, 1, 4, 2, 2, 1, 1, 2, , , , 1, 2, 1, , , , , 1, 1, , , , , , , , , 2, , , , , , , 8, 3, , 1, , , , , , , , , , , , , , , , 1, , , , 3, , 4, , , , , , , , , , , , , 2, , , , 2, , , , , , , , , 1, , 1, 1, , 1, 1, 1, 1, 2, 2, 1, , , , , , 1, 2, 2, 5, 1, 1, 1, , , , , , , , , , , , , , , , , 1, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , 3, , , , 2, 4, 4, 20, , , , , , , , , , , 5, , , , 4, 4, 2, 11, , , , , , 
nwd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , , , 8, , , 1, 2, 2, , , , , , , , , 1, , , , , 9, 2, , , , , 4, , , , , , , , 2, , , , , 2, , , , , , , , 2, 2, , , , 1, , 1, 1, , 1, 1, 1, 1, 3, 2, 1, , , 6, , , 1, 2, 2, 5, 1, 1, 1, , , , 2, , , , 1, , , , , , , , , 1, , , 1, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12, , , , 2, 4, 2, 20, , , , , , , , , , , 15, 7, , , 4, 4, 2, 11, , , , , , 
tam, 4, 2, 3, 1, 1, 1, 1, 2, , , , 1, 2, 2, , , , , 1, 1, , , , , , , , , 2, , , , , , , 7, , , 2, 2, 2, , , , , , , , , , , , , , 6, , , , , 3, , , , , 6, 2, , , , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, , 1, 1, 1, 1, 2, 2, 1, , , , , , , 2, 2, 4, 1, 1, 1, , , , , , , , 1, , , , , , , , , 2, , , 1, 1, , , , , , , , , , , , , , , , 3, , , , , , , , , , , , , , 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
tib, 5, 3, 3, 2, 2, 1, 1, 2, , , , 2, 2, 2, 1, 5, 2, , 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, , , , , 1, 1, 1, , 4, 8, , , , , , , , , 1, , 2, , , , , , , , , 2, , , , 2, 1, 1, , , , , , , , , , , , , , , , , , , , , , , 1, , 1, 1, , , 1, 2, 2, 2, 2, 1, , , , , , 2, 2, , 2, , 1, 2, , , , , , , , 1, , , , , , , 2, 1, 1, 3, 3, , 1, , , , , , , , 1, , , , , 1, 2, , , , , , , 1, 1, 1, 1, 1, , , , , 3, , , , 2, 4, 4, 20, , , , , , , , , , , 5, , , , 4, 4, 2, 11, , , , , , 
hun, 4, 3, 3, 4, 2, 1, 1, 2, 3, 2, , 2, 3, 1, 2, 8, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1, 5, 2, 2, 1, 4, 3, 1, 1, 1, 2, 6, 4, 2, 1, 1, 3, , 3, 2, 1, 6, 6, 3, 1, 1, 3, 8, 2, 1, 3, 7, 2, 2, 2, 2, 2, 1, 1, 6, 2, 7, 1, 1, 2, 1, 2, 4, 2, 5, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 7, 1, 1, 2, , 1, 1, 1, 1, 1, 7, 2, 2, , , , , 1, , 2, 1, 3, 5, 3, 2, 2, 2, 2, 5, 2, 5, 1, , 1, 3, 4, 8, 5, 3, 2, 2, 1, 7, 1, 1, 1, 2, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 2, 2, , 1, , , , , 2, 2, 1, 1, 2, , , , 2, 1, , , , 1, 4, 4, 2, 3, 15, 10, , , , 4, 1, 7, 4, , , , , , , , , , , , , , 
kty, 2, 2, 3, 1, 1, 1, 1, 2, 2, , , 1, 2, 1, , , , , 1, 1, , , , , , , , , 2, , , , , , , 2, , , 1, , , , , , , , , , , 1, , , 3, 3, 1, 1, 7, 4, , , 2, , , , , , , 1, 2, , , , , 2, 1, 2, , 2, 2, 3, 3, , , , , , 1, , 1, 1, , 1, 1, 1, 1, 1, 2, 1, , , , , , 1, , 2, 1, 1, 1, 1, , , , 2, , , , 4, , , , , , , , , 2, , , 1, , 5, 2, 2, 2, , , , 1, , , , , , , , 1, , , , , , , , , , , , , 3, 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
mns, , , , , , , , , 2, , , , , , 2, 8, 1, 1, , , , , , , , , , , 2, , , , 1, 1, 1, 2, , 5, , 5, 5, , , , , , , , , 3, 1, , , , 1, 3, 5, , , , 2, , , , , , , , , , , , , 2, 1, 2, , , 2, 2, 3, , , , , , 1, , 1, 1, , 1, 1, 1, 1, 1, 2, 1, , , , , , 1, 1, 2, 5, 1, 1, 1, , , , 2, , , , , , , , , , , , 2, 2, 1, 7, , 3, 5, 2, 2, 2, , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
cmn, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, , 1, 2, 1, 2, 8, 1, 1, 1, 1, , , , , , , , , 2, 1, 3, 1, 1, 1, 1, 2, 3, 7, 1, 2, 4, 5, , 1, 3, 1, , 6, 1, 1, 2, 2, 3, 4, 1, 2, , 2, , , 4, , , , , , , , , , , , , 2, 1, 4, 4, 2, , 2, , 2, 2, 4, 5, 2, 1, , 1, 1, , 1, 1, 1, 1, 1, 1, , 1, , , , , 1, 3, 2, , 1, 2, 1, 2, 2, 2, 3, 5, 2, 3, 2, , 1, 1, 1, 3, 1, , 2, 2, 3, 3, , 1, , , , , 4, , , 1, , 3, , , 2, 2, , 1, , , , , , , , , , , , , , 1, , , , 1, 4, 4, 16, , , , , , , , , , , 15, 3, , , 1, 1, 1, 11, , , , , , 
kws, 3, 2, 3, 2, 4, 1, 1, 2, 3, , , 1, , 1, 1, 3, 2, , 1, 1, , , , , , , , , 2, , , , , , , 2, , , , , , , , , , , 2, 2, , , , 4, , , 1, , , , , , 2, , , , , , , , , , , , , , 1, 4, , , , , , 2, 4, , , , 7, , 3, 3, 6, 1, 3, 1, 6, , 1, , 1, , , , , , 6, 1, , 5, 5, 5, , , 5, , 5, 2, 4, , 4, 1, , , , , , , , , , , 6, , , , , , , , , , , , , 2, 2, , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, , , , , , , , , , , , , , , , , , , , , , , , , 
