ao, 1, 2, 2, 3, 1, 1, 1, 2, , 2, , 1, 2, 3, , , , , 1, 1, , , , , , , , , 3, , , , , , , 2, , , , 2, 2, , , , 2, 1, , , , , , , , , 6, , , , , , 1, , , , , , , , , , , , , 2, 4, 2, , , , , , , , , , , 1, , 1, 1, , 1, 1, 2, 2, 2, 7, 3, , 2, , , , 1, 2, 2, 4, 1, 5, 2, , , , 1, , , , , , , , , , , , , 1, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15, , 7, , 2, 2, 4, 19, , , , , , , , , , , 17, , , 6, 4, 4, 4, 6, , , , , , 
bai, 2, 3, 1, 3, 1, 1, 1, 2, , , , 1, 2, 3, , , , , 1, 1, , , , , , , , , 1, , , , , , , 7, , , , , , , , , , , , , , , , , , , 9, , , , , , 4, , , , , , , , , , , , , 5, , , , , , , , , , , , , 2, , 1, 2, 6, 4, 1, 1, 2, 2, 2, 1, , , , , , , 2, 2, , 5, 3, 3, , , , , , , , 1, , , , , , , , , 4, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 2, 3, , 2, , , , 4, 1, 7, 4, , , , , , , , , , , , , , 
baw, 3, 2, 4, 4, 4, 1, 1, 2, 1, , , 1, 2, 2, 7, 8, 1, , 1, 1, , , , , , , , , 1, , 4, 3, 1, 1, 1, 7, 4, 5, , 5, 5, 3, , 1, , , 1, 6, , 1, , 2, 4, 2, 9, , , , , , 4, , , , , , , , 1, , , , , 5, 5, 2, 2, 2, 2, , 2, 1, 1, , , , 1, , 1, 1, 4, 1, 1, 2, 2, 2, 7, 3, , 2, , , , 2, 2, 2, 2, 1, 5, 2, 4, 4, 2, 4, 5, 2, 2, 4, , 2, , , , , , 4, 4, 3, 3, 1, 1, , , , , , 4, , 1, 3, 3, , , , , , 1, , , , , , , , , , , , , , 2, , , , 4, 1, 4, 8, 4, , , , , , , , , , 4, , , , 4, 4, 8, 1, , , , , , 
bel, , , , , , , , , , , , , , , , , , , , , 1, 1, 1, 4, 3, 3, 3, 2, 3, , , , , , , , 5, , 1, , , , , , 2, , , , , , , , , , 1, , , , 3, 3, 1, 1, 1, 1, 6, 4, , , , , , , , 2, 1, , , , , , , , , , , , , , 1, 1, , , 1, 1, , 1, 2, 1, , 6, , , , , 2, , , , 1, 1, , , , 2, , , , 3, , , , , , , , , 1, , , , 1, , , , , , , , , , , , , , , , , , , , , 1, 1, 1, 1, , , , , 3, 15, , 8, , 2, 2, 4, 19, , , , , , , , , , , 17, , , 21, , , , , , , , , , 
brm, 4, 3, 3, 4, 2, 1, 1, 2, 1, 2, , 1, 2, 3, , , , , 1, 5, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 7, , 2, 1, 5, 5, 2, , 1, 2, , 1, 3, 4, , 1, 2, 7, 2, 1, , 8, 4, 3, 3, , 2, 1, 1, 3, 2, 5, 2, , 2, 4, 2, 2, 2, 5, 2, 4, 2, 3, 3, 2, 1, 1, 4, 5, 1, 1, , 1, 1, 6, 1, 1, 2, 1, 2, 2, 1, , , , , , 1, 6, 2, 4, 1, 1, 2, 2, 2, 1, 5, 1, 1, 1, 2, 1, 2, 3, 4, 8, 5, 2, 4, 6, 2, 3, 1, 2, 1, 1, 1, 2, 1, 4, 4, 1, , , , , , , , 1, , , , , 1, 1, 1, 1, 3, , , , , 14, 3, , , 2, 1, 4, 18, 4, , , , , , , , , , 16, , 5, , 4, 4, 6, 5, , , , , , 
gar, 2, 2, 3, 2, 2, 1, 1, 1, 2, 2, , 1, 2, 1, , , , , 1, 1, 1, 1, 1, 2, , , , , 2, 1, 4, 1, , , , 8, 4, 4, 1, 5, 5, 5, , 1, , , 6, 6, 1, 1, 1, 1, 7, 2, 6, , 5, 2, 3, , 4, , , , , , , , 1, , , , , 2, 4, 4, 4, 2, 1, 2, 3, 2, 2, 4, 5, 1, 1, , 1, 1, , 1, 1, 2, 1, 2, 2, 1, , , , , , , 6, 2, 4, 1, 1, 2, 2, 2, 1, 5, 1, 1, 1, 1, , 2, , , , , , 2, 1, 3, 3, , 2, , 1, 1, 1, , , , 1, , , , , , , , 1, , , , , , , , , , , , , , 4, , , , 4, 2, 4, 20, , , , , , , , , , , 6, , , , 4, 4, 8, 2, , , , , , 
jng, 4, 2, 4, 2, 2, 1, 1, 2, , , , 1, 2, 3, , , , , 1, 1, , , , , , , , , 1, , , , , , , 7, , , , 5, 5, , , , , , , , , , , , , , 9, , , , , , 4, , , , , , , , , , , , , 5, , , , , , , , , , , , , 1, , 1, 1, 3, 1, 1, 2, 1, 2, 2, 1, , , , , , 1, 2, 2, 2, 1, 1, 2, , , , 5, , , , 1, , , , , , , , , 4, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 21, , , , , , , , , , , 14, , , , , , , 11, , , , , , 
ksg, 2, 3, 3, 3, 1, 1, 3, 2, , , , 1, 2, 3, , , , , 1, 5, , , , 2, , , , , 1, , , , , , , 7, , , , 5, 5, , , , , , , , , , , , , , 9, , , , , , , , , , , , , , , , , , , 5, , , , , , , , , , , , , 2, , 1, 2, 1, 2, 1, 2, 2, 2, 1, , 1, , , , , 2, 2, 2, 5, 4, 4, 4, , , , , , , , , , , , , , , , , 6, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , 14, 1, , , 1, 1, 4, 18, , , 14, , 1, , 4, 5, 7, 3, , , , , , , , , , , , , , 
kyl, 2, 3, 1, 2, 4, 1, 1, 2, 1, 2, , 1, 2, 3, , , , , 1, 1, , , , , , , , , 1, , 1, 1, , , , 9, , 4, 3, , , 3, , 1, 2, , 1, 6, 1, , , 2, 1, 1, 9, , , , 3, , 4, , , , 6, 7, 8, , , , , , , 5, 5, 2, 1, 2, 3, , , 3, 2, , , , 2, , 1, 2, 1, 4, 1, 2, 2, 2, 1, , 1, , , , , , 2, 2, 5, 5, 4, 4, 1, 1, 1, 5, 1, 1, 1, 2, , 2, , , , , , 3, 4, 3, 3, , 1, , , , , , 3, 3, 1, , , , , , , , 1, , , , , , , , , , , , , , 2, , , , 4, 1, 4, 4, 6, , 4, , , , 4, 8, 7, 1, , , , , , , , , , , , , , 
lad, 4, 2, 5, 4, 2, 1, 1, 2, 1, 2, , 1, 3, 1, , , , , 1, 1, , , , , , , , , 2, , 4, 1, 1, 1, 1, 2, , 8, , , 3, 5, , 1, , , , 6, , , , 2, 5, 2, 1, 2, 5, , , , , , , , , , , , , , , , , 2, 1, 2, 4, 1, 1, 2, 3, 3, 3, 4, 5, 1, 1, , 1, 1, , 1, 1, 2, 1, 2, , , , , , , , , 6, 2, , 1, , 2, 4, 4, 1, 5, 1, 1, 1, 1, , 2, , , , , , 2, 1, 3, 3, , 2, 1, 3, 1, 1, , , , 4, , , , , , , , , , , , , , , , , 3, , , , , 11, , , , 2, 2, 4, 20, , , , , , , , , , , 15, 6, , , 4, 4, 2, 2, , , , , , 
