ieur, rmc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ieur, rsc, 3, 2, 4, 4, 2, 1, 1, 2, , , , 1, 3, 1, , , , , 1, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ieur, rsm, , , , , , , , , , , , , , , 1, 3, 7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ieur, rsu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 1, , , , , , , , , , , 2, , 1, 2, , , 2, 2, 1, 1, 1, , 1, , , , , , , , 1, , 4, 4, , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , 4, 1, 4, 21, , , 12, , , , 4, 8, , , , , , , , , , , , , , , , 
penu, mwp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 1, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
afpc, pri, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
trng, mni, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, , , 1, , , 2, , , , , , , , , 6, , , , , , , , , , , , , , , , , , , , , , 2, , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 21, , , , , , , , , , , 14, , , , , , , 11, , , , , , 
urlc, ene, , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , 2, , , , , , , 2, , , , , , , , , , , , , , 1, , , , , 1, , , , , , 2, , , , , , , , , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, 3, 1, , 1, , , , , , , , , , , 6, , , 1, , 1, , , , 2, , , , , , , , , , , , , 3, , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 21, , , , , , , , , , , 14, , , , , , , 11, , , , , , 
utaz, nhh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, , , , , , , 2, , , , , , , , , , , , , 2, , , , , , , , , , , , 1, , , , , , , , , , , , , 2, , , , , , , , 1, 1, , , , 3, , 2, 2, , 2, 2, 2, 1, 1, 1, , 1, , , , , 1, , 1, 1, 4, 4, 4, , , , 2, , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 9, 3, , , , , , , , , , , , , , , , , , 1, , 1, 6, 4, 
chib, cma, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
maya, tzs, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
altc, tmi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
altc, ttb, , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
altc, tvo, , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , 2, , , , , , , 2, , , 2, 5, 5, , , , , , , , , 1, , , , , 1, , 4, 4, 2, 2, 2, , , , 4, 2, , , , , , , , 2, 1, 1, 1, , 2, 3, , , , , , , 1, , 1, 1, , 1, 1, 1, 1, 1, 2, 1, , , , , , 1, , , 1, 1, 1, 1, , , , 2, , , , , , , , , , , , , , , , , 1, , 2, 2, 1, , , , , , , , , 1, 2, , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
aust, bua, 2, 2, 3, 1, 1, 1, 1, 2, , , , 1, 3, 1, 2, 8, 1, 5, 3, 1, , , , , , , , , 5, 2, , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , 1, , , , , , , , , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, , 1, , 3, , , , , , , , , , , , , , 1, , 5, , , , , , , , , , , , , , , , , 2, 3, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 21, , , , , , , , , , , 14, , , , , , , 11, , , , , , 
nais, yuc, 5, 2, 4, 2, 2, 1, 6, 4, 3, 1, , 1, , 1, 1, 7, 6, 4, 1, 1, , 5, 1, , 1, 1, 1, 2, 4, 1, 1, 3, , , , 7, , 3, , , 4, 5, , 5, , , 5, 2, , , , 3, 9, 2, 1, , , , 1, , 1, 2, 1, 3, , , , , , , , , , 2, , , , , 1, 2, 3, 1, 1, , , , 1, , 1, 1, , 1, 1, 2, 1, 2, 1, , 1, , , , , , 3, 2, 2, 1, 2, 2, , , 4, 2, 5, 2, 4, , , 2, , , , , , 3, , 1, 7, , 1, , , , , , , , , , , , , , , , , , , , , 1, 1, 1, 1, , , , , , 1, , , , 1, 4, 4, 21, , , , , , , , , , , 14, , , , , , , 11, , , , , , 
asis, ain, 3, 2, 2, 1, 1, 1, 1, 1, 3, 2, , 1, 2, 2, , , , , 1, 1, , , , 3, 4, 1, 5, 2, 4, 2, 1, 3, 1, 1, 1, 2, 4, 3, 1, , , 5, , 5, 2, 2, 1, 6, 2, 1, , 3, 9, 2, 9, 2, 1, 6, 2, 3, 1, 2, 1, 1, 4, , , 1, 2, 2, 4, 2, 4, 2, 4, 2, 4, 2, 2, 3, 2, 3, 2, 4, 5, 3, 1, , 1, 1, , 1, 1, 1, 1, 1, 2, 1, , , , , , , 2, 2, 2, 1, 1, 1, 1, 1, 6, 2, 5, 5, 2, 3, 2, 1, 3, 4, 3, 3, , 2, 2, 1, 7, 1, 1, 5, 1, 1, 1, , , , 1, 1, 1, 1, 1, 1, , , 3, , , , , 1, 1, 1, 1, , , , , , 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
nsah, brz, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ebir, sgb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , 2, , 1, 2, , 2, 1, 2, 2, 2, 1, , 1, , , , , , , 2, , 4, 4, 4, , , , 2, , , , , , , , , , , , , 2, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , 4, 1, 4, 4, 6, , 4, , , , 4, 8, 7, 1, , , , , , , , , , , , , , 
algi, aho, , , , , , , , , 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wpap, sah, , , , , , , , , , , , , , , 5, 8, 1, , , , , , , , 1, 1, 1, 2, 6, , , , , , , 9, , , , , , , , , , , , 2, , , , 2, , , 9, , , , , , 4, 2, 1, 1, , , , , , , , , , 5, , , , , , , , , , , , , 2, , 1, 2, , 2, 1, 2, 2, 2, 1, , 1, , , , , 3, 6, 2, 1, 4, 4, 4, , , 2, 1, 5, 2, 2, , , 2, , , , , , , 2, , , , 6, , , , , , , , , , , , , , , , 1, , , , , 1, 1, 1, 1, , , , , , 2, , , , 4, 1, 4, 16, , , 13, 5, , , 4, 8, 1, 1, , , , , , , , , , , , , , 
cari, apl, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 1, , , , , , 7, , , 1, 5, 5, , , , 3, 1, , , , , , , , , 9, , , , , , 1, , , , , , 3, 2, , , , , , 2, 1, 1, 4, 2, , , , 3, 4, , , , 7, 5, 3, 1, 5, 1, 1, 2, , 3, , , , , , , , 2, 6, 2, 4, 1, , 2, , , , 2, , , , , , , , , , , , , 1, 2, 1, , 6, 4, 2, 2, 1, 3, , , , , , , , , , , , , , , , , , , , , , , , , 4, , , , 4, 2, 4, 20, , , , , , , , , , , 15, 19, , , 4, 4, 8, 2, , , , , , 9
ncau, drg, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 6, 7, 2, , , , , , 3, 1, , , , , , , , , 1, , , 2, 1, 3, 4, , , , 6, 2, , , 1, , , , , , , , , 1, , , , , , , , , 1, , 1, 1, , 1, 1, 1, , 1, 2, 1, , , , , , , , , , 1, 1, 1, , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
tucn, mcn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
macg, max, 1, 2, 1, 1, 1, 1, 1, 1, 3, , , 1, 2, 1, , , , , 6, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , 1, , 1, 1, , 1, , , , , , , , , , , , , 1, , , 1, , , , , , , , , , , 4, , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
skoo, pok, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , 9, , , , , , , , , , , , , , , , , , , 9, , , , , , 4, , , , , , , , , , , , , 5, , , , , , , , , , , , , 7, 1, 1, 3, 6, 4, 1, 2, 2, 2, , , , , , , , 2, 2, 2, , 5, 5, 5, , , , , , , , , , , , , , , , , 2, , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
aupc, knq, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7, 7, 1, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
