afr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , , 2, 1, , , , , 1, , , , , 1, 6, 1, , , , , , , , , , , , 2, 1, 2, 2, , , , , , , , , 2, 4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
alb, 3, 3, 3, 4, 2, 1, 1, 2, 3, , , 3, 3, 1, , , , , 1, 5, , , , , , , , , 2, , , , , , , 2, , , 4, 3, 1, , , , , , , 2, 1, , , 2, 4, 6, 1, 1, 6, 5, 1, , 4, , , , 6, 5, 3, 1, , , , , , 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, , , , 2, , 1, 2, , 2, 2, 2, 1, 1, 1, , 1, , , , , 1, 1, , 1, 4, 4, 4, , , 2, 2, 5, 2, 3, , , 1, , , , , , , 2, 1, 7, , 1, 5, 2, 2, 1, 4, , , 2, , , , , , , , 1, , , , , , , , , 1, , , , 1, 1, , , , 1, 4, 4, 2, 3, , 2, , , , 4, 1, 7, 4, , , , , , , , , , , , , , 
alt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
arm, 1, 2, 4, 3, 1, 3, 2, 2, 3, 2, , 1, , 1, 1, 5, 5, 4, 1, 1, , , , 2, , , , , 2, 2, 3, 3, 1, 1, 1, 2, 6, 5, 4, 3, 1, 3, , 3, , , 3, 6, 2, , 1, 2, 5, 3, 1, 2, 6, 7, 1, 1, 2, 2, 1, 1, , , 2, 1, , 1, 1, 2, 3, 2, 1, 2, 4, 2, 2, 3, 2, , , 3, 2, 1, 7, 1, 1, 3, 6, 1, 1, 1, 1, 1, 7, 2, 2, , , , , 1, 6, 2, 1, 5, 5, 5, 2, 2, 2, 2, 2, 4, 1, , , 1, 3, 4, 8, 5, 2, 2, 5, 3, 1, , 6, 2, 2, 2, 1, , , , , , , , , , , , 1, , , , , , , , , 2, , , , , 7, , , , 3, 4, 4, 16, , , 13, 22, , , 4, 1, 7, 4, 15, 16, , , 4, 4, 7, 11, , , , , , 
arw, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, , , , , , 2, , , , 3, 1, , , , , , , , , , , , , , 1, , 6, , , , 2, , , , , , , , , , , , , 2, , , , , , , , 2, 3, , , , 1, , 1, 1, 6, 1, 1, 1, 1, 1, 1, , 1, , , , , 1, 6, 2, 1, 1, 2, 1, , , , 2, , , , , , , , , , , , , 3, , , , 6, , , , , , , , , , , , , 1, 2, , , , , , , , , , , , , , , , 7, , , , 3, 4, 4, 16, , , , , , , , , , , 15, 22, , , , , 2, 11, , , , , , 
arz, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 1, , , , , , , , , , , , , , , , , , , , 1, , , , , 1, , , 2, 3, , , , , , , , , , , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, , , 1, 1, 1, 3, , , , , , , , , 6, 2, , , , 1, , , , 2, , , , , , , , , , , , , 1, , , 1, 2, , , , , , , , 1, , , , , , , , , , , , , , , , , 1, , , , , 3, , , , 2, 4, 4, 20, , , , , , , , , , , 5, , , , 4, 4, 2, 11, , , , , , 
ast, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
awd, , , , , , , , , , , , , , , 1, 3, 4, 5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bec, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6, 4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ben, 4, 3, 3, 2, 2, 1, 1, 2, , , , 1, 3, 1, 2, 8, 1, 5, 1, 1, , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , 1, , , , 1, , 6, 2, 3, , , , , , , , , , , 2, 1, 1, 3, , , , , , , , , , , 3, 5, 1, 1, , 1, 1, 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , 2, 2, 2, 2, , , , 1, , , , , , , , , , , , , , , , , 1, , , , 1, 2, , , , 4, 1, 4, 8, 4, , , , , , , , , , 4, , , , 4, 4, 8, 1, , , , , , 
